District,State,Prant
Adilabad , Telangana , Telangana Prant
Agar Malwa , Madhya Pradesh , MP-Malwa Prant
Agra , Uttar Pradesh , UP-Bruj Prant
Ahmedabad , Gujarat , Gujarat Prant
Ahmednagar , Maharashtra , MH-Madhya Maharashtra Prant
Aizawl , Mizoram , Mizoram Prant 
Ajmer , Rajasthan , RJ-Chittor Prant
Akola , Maharashtra , MH-Vidharbh Prant
Alappuzha , Kerala , Kerala Prant
Aligarh , Uttar Pradesh , UP-Bruj Prant
Alipurduar , West Bengal , West Bengal Prant
Alirajpur , Madhya Pradesh , MP-Malwa Prant
Alluri Sitarama Raju , Andhra Pradesh , Andhra Pradesh Prant
Almora , Uttarakhand , Uttarakhand Prant
Alwar , Rajasthan , RJ-Jaipur Prant
Ambala , Haryana , Haryana Prant
Ambedkar Nagar , Uttar Pradesh , UP-Awadh Prant
Amethi , Uttar Pradesh , UP-Kashi Prant
Amravati , Maharashtra , MH-Vidharbh Prant
Amreli , Gujarat , Gujarat Prant
Amritsar , Punjab , Punjab Prant
Amroha , Uttar Pradesh , UP-Meerut Prant
Anakapalli , Andhra Pradesh , Andhra Pradesh Prant
Anand , Gujarat , Gujarat Prant
Anantapur , Andhra Pradesh , Andhra Pradesh Prant
Anantnag , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Angul , Odisha , OD-Purba Prant
Anjaw , Arunachal Pradesh , Arunachal Pradesh Prant
Annamaya , Andhra Pradesh , Andhra Pradesh Prant
Anopgarh , Rajasthan , RJ-Jodhpur Prant
Anuppur , Madhya Pradesh , MP-Madhya Bharat Prant
Araria , Bihar , BR-Uttar Prant
Aravalli , Gujarat , Gujarat Prant
Ariyalur , Tamil Nadu , TN-Dakshin Prant
Arwal , Bihar , BR-Dakshin Prant
Ashoknagar , Madhya Pradesh , MP-Madhya Bharat Prant
Auraiya , Uttar Pradesh , UP-Kanpur Prant
Aurangabad , Bihar , BR-Dakshin Prant
Aurangabad (Sambaji Nagar) , Maharashtra , MH-Devgiri Prant
Ayodhya , Uttar Pradesh , UP-Awadh Prant
Azamgarh , Uttar Pradesh , UP-Goraksha Prant
Bagalkot , Karnataka , Karnataka Prant
Bageshwar , Uttarakhand , Uttarakhand Prant
Baghpat , Uttar Pradesh , UP-Meerut Prant
Bahraich , Uttar Pradesh , UP-Awadh Prant
Bajali , Assam , Assam Prant
Baksa , Assam , Assam Prant
Balaghat , Madhya Pradesh , MP-Mahakaushal Prant
Balangir , Odisha , OD-Pashchim Prant
Balasore , Odisha , OD-Purba Prant
Ballia , Uttar Pradesh , UP-Goraksha Prant
Balod , Chhattisgarh , Chhattisgarh
Balotara , Rajasthan , RJ-Jodhpur Prant
Balrampur , Chhattisgarh , Chhattisgarh Prant
Balrampur , Uttar Pradesh , UP-Awadh Prant
Banaskantha , Gujarat , Gujarat Prant
Banda , Uttar Pradesh , UP-Kanpur Prant
Bandipora , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Bangalore Rural , Karnataka , Karnataka Prant
Bangalore Urban , Karnataka , Karnataka Prant
Banka , Bihar , BR-Dakshin Prant
Bankura , West Bengal , West Bengal Prant
Banswara , Rajasthan , RJ-Chittor Prant
Bapatla , Andhra Pradesh , Andhra Pradesh Prant
Barabanki , Uttar Pradesh , UP-Awadh Prant
Baramulla , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Baran , Rajasthan , RJ-Chittor Prant
Bareilly , Uttar Pradesh , UP-Bruj Prant
Bargarh , Odisha , OD-Pashchim Prant
Barmer , Rajasthan , RJ-Jodhpur Prant
Barnala , Punjab , Punjab Prant
Barpeta , Assam , Assam Prant
Barwani , Madhya Pradesh , MP-Malwa Prant
Bastar , Chhattisgarh , Chhattisgarh Prant
Basti , Uttar Pradesh , UP-Goraksha Prant
Bathinda , Punjab , Punjab Prant
Beawar , Rajasthan , RJ-Chittor Prant
Beed , Maharashtra , MH-Devgiri Prant
Begusarai , Bihar , BR-Uttar Prant
Belgaum , Karnataka , Karnataka Prant
Bellary , Karnataka , Karnataka Prant
Bemetara , Chhattisgarh , Chhattisgarh Prant
Betul , Madhya Pradesh , MP-Madhya Bharat Prant
Bhadohi , Uttar Pradesh , UP-Kashi Prant
Bhadradri Kothagudem , Telangana , Telangana Prant
Bhadrak , Odisha , OD-Purba Prant
Bhagalpur , Bihar , BR-Dakshin Prant
Bhandara , Maharashtra , MH-Vidharbh Prant
Bharatpur , Rajasthan , RJ-Jaipur Prant
Bharuch , Gujarat , Gujarat Prant
Bhavnagar , Gujarat , Gujarat Prant
Bhilwara , Rajasthan , RJ-Chittor Prant
Bhind , Madhya Pradesh , MP-Madhya Bharat Prant
Bhiwani , Haryana , Haryana Prant
Bhojpur , Bihar , BR-Dakshin Prant
Bhopal , Madhya Pradesh , MP-Madhya Bharat Prant
Bidar , Karnataka , Karnataka Prant
Bijapur , Chhattisgarh , Chhattisgarh Prant
Bijnor , Uttar Pradesh , UP-Meerut Prant
Bikaner , Rajasthan , RJ-Jodhpur Prant
Bilaspur , Chhattisgarh , Chhattisgarh Prant
Bilaspur , Himachal Pradesh , Himachal Prant
Birbhum , West Bengal , West Bengal Prant
Bishnupur , Manipur , Manipur Prant
Biswanath , Assam , Assam Prant
Bokaro , Jharkhand , Jharkhand Prant
Bongaigaon , Assam , Assam Prant
Botad , Gujarat , Gujarat Prant
Boudh , Odisha , OD-Pashchim Prant
Budaun , Uttar Pradesh , UP-Bruj Prant
Budgam , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Bulandshahr , Uttar Pradesh , UP-Meerut Prant
Buldhana , Maharashtra , MH-Vidharbh Prant
