state,district,prant_name
Andaman and Nicobar Islands,Nicobar,Andhra Pradesh
Andaman and Nicobar Islands,North and Middle Andaman,Andhra Pradesh
Andaman and Nicobar Islands,South Andaman,Andhra Pradesh
Andhra Pradesh,Anakapalli,Andhra Pradesh
Andhra Pradesh,Anantapur,Andhra Pradesh
Andhra Pradesh,Annamayya,Andhra Pradesh
Andhra Pradesh,Bapatla,Andhra Pradesh
Andhra Pradesh,Chittoor,Andhra Pradesh
Andhra Pradesh,East Godavari,Andhra Pradesh
Andhra Pradesh,Eluru,Andhra Pradesh
Andhra Pradesh,Guntur,Andhra Pradesh
Andhra Pradesh,Kakinada,Andhra Pradesh
Andhra Pradesh,Konaseema,Andhra Pradesh
Andhra Pradesh,Krishna,Andhra Pradesh
Andhra Pradesh,Kurnool,Andhra Pradesh
Andhra Pradesh,Nandyal,Andhra Pradesh
Andhra Pradesh,NTR,Andhra Pradesh
Andhra Pradesh,Palnadu,Andhra Pradesh
Andhra Pradesh,Parvathipuram Manyam,Andhra Pradesh
Andhra Pradesh,Prakasam,Andhra Pradesh
Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh
Andhra Pradesh,Sri Sathya Sai,Andhra Pradesh
Andhra Pradesh,Srikakulam,Andhra Pradesh
Andhra Pradesh,Tirupati,Andhra Pradesh
Andhra Pradesh,Visakhapatnam,Andhra Pradesh
Andhra Pradesh,Vizianagaram,Andhra Pradesh
Andhra Pradesh,West Godavari,Andhra Pradesh
Andhra Pradesh,YSR Kadapa,Andhra Pradesh
Arunachal Pradesh,Anjaw,Arunachal Pradesh
Arunachal Pradesh,Bichom,Arunachal Pradesh
Arunachal Pradesh,Changlang,Arunachal Pradesh
Arunachal Pradesh,Dibang Valley,Arunachal Pradesh
Arunachal Pradesh,East Kameng,Arunachal Pradesh
Arunachal Pradesh,East Siang,Arunachal Pradesh
Arunachal Pradesh,Kamle,Arunachal Pradesh
Arunachal Pradesh,Kra Daadi,Arunachal Pradesh
Arunachal Pradesh,Kurung Kumey,Arunachal Pradesh
Arunachal Pradesh,Leparada,Arunachal Pradesh
Arunachal Pradesh,Lohit,Arunachal Pradesh
Arunachal Pradesh,Longding,Arunachal Pradesh
Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh
Arunachal Pradesh,Lower Siang,Arunachal Pradesh
Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh
Arunachal Pradesh,Namsai,Arunachal Pradesh
Arunachal Pradesh,Pakke Kessang,Arunachal Pradesh
Arunachal Pradesh,Papum Pare,Arunachal Pradesh
Arunachal Pradesh,Shi Yomi,Arunachal Pradesh
Arunachal Pradesh,Siang,Arunachal Pradesh
Arunachal Pradesh,Tawang,Arunachal Pradesh
Arunachal Pradesh,Tirap,Arunachal Pradesh
Arunachal Pradesh,Upper Siang,Arunachal Pradesh
Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh
Arunachal Pradesh,West Kameng,Arunachal Pradesh
Arunachal Pradesh,West Siang,Arunachal Pradesh
Assam,Bajali,Assam
Assam,Baksa,Assam
Assam,Barpeta,Assam
Assam,Biswanath,Assam
Assam,Bongaigaon,Assam
Assam,Cachar,Assam
Assam,Charaideo,Assam
Assam,Chirang,Assam
Assam,Darrang,Assam
Assam,Dhemaji,Assam
Assam,Dhubri,Assam
Assam,Dibrugarh,Assam
Assam,Dima Hasao,Assam
Assam,Goalpara,Assam
Assam,Golaghat,Assam
Assam,Hailakandi,Assam
Assam,Hojai,Assam
Assam,Jorhat,Assam
Assam,Kamrup,Assam
Assam,Kamrup Metropolitan,Assam
Assam,Karbi Anglong,Assam
Assam,Karimganj,Assam
Assam,Kokrajhar,Assam
Assam,Lakhimpur,Assam
Assam,Majuli,Assam
Assam,Morigaon,Assam
Assam,Nagaon,Assam
Assam,Nalbari,Assam
Assam,Sivasagar,Assam
Assam,Sonitpur,Assam
Assam,South Salmara Mankachar,Assam
Assam,Tamulpur,Assam
Assam,Tinsukia,Assam
Assam,Udalguri,Assam
Assam,West Karbi Anglong,Assam
Bihar,Araria,Bihar (Uttar)
Bihar,Arwal,Bihar (Dakshin)
Bihar,Aurangabad,Bihar (Dakshin)
Bihar,Banka,Bihar (Dakshin)
Bihar,Begusarai,Bihar (Dakshin)
Bihar,Bhagalpur,Bihar (Dakshin)
Bihar,Bhojpur,Bihar (Dakshin)
Bihar,Buxar,Bihar (Dakshin)
Bihar,Darbhanga,Bihar (Uttar)
Bihar,East Champaran,Bihar (Uttar)
Bihar,Gaya,Bihar (Dakshin)
Bihar,Gopalganj,Bihar (Uttar)
Bihar,Jamui,Bihar (Dakshin)
Bihar,Jehanabad,Bihar (Dakshin)
Bihar,Kaimur,Bihar (Dakshin)
Bihar,Katihar,Bihar (Uttar)
Bihar,Khagaria,Bihar (Uttar)
Bihar,Kishanganj,Bihar (Uttar)
Bihar,Lakhisarai,Bihar (Dakshin)
Bihar,Madhepura,Bihar (Uttar)
Bihar,Madhubani,Bihar (Uttar)
Bihar,Munger,Bihar (Dakshin)
Bihar,Muzaffarpur,Bihar (Uttar)
Bihar,Nalanda,Bihar (Dakshin)
Bihar,Nawada,Bihar (Dakshin)
Bihar,Patna,Bihar (Dakshin)
Bihar,Purnia,Bihar (Uttar)
Bihar,Rohtas,Bihar (Dakshin)
Bihar,Saharsa,Bihar (Uttar)
Bihar,Samastipur,Bihar (Uttar)
Bihar,Saran,Bihar (Uttar)
Bihar,Sheikhpura,Bihar (Dakshin)
Bihar,Sheohar,Bihar (Uttar)
Bihar,Sitamarhi,Bihar (Uttar)
Bihar,Siwan,Bihar (Uttar)
Bihar,Supaul,Bihar (Uttar)
Bihar,Vaishali,Bihar (Uttar)
Bihar,West Champaran,Bihar (Uttar)
Chandigarh,Chandigarh,Punjab
Chhattisgarh,Balod,Chhattisgarh
Chhattisgarh,Baloda Bazar,Chhattisgarh
Chhattisgarh,Balrampur,Chhattisgarh
Chhattisgarh,Bastar,Chhattisgarh
Chhattisgarh,Bemetara,Chhattisgarh
Chhattisgarh,Bijapur,Chhattisgarh
Chhattisgarh,Bilaspur,Chhattisgarh
Chhattisgarh,Dantewada,Chhattisgarh
Chhattisgarh,Dhamtari,Chhattisgarh
Chhattisgarh,Durg,Chhattisgarh
Chhattisgarh,Gariaband,Chhattisgarh
Chhattisgarh,Gaurela Pendra Marwahi,Chhattisgarh
Chhattisgarh,Janjgir Champa,Chhattisgarh
Chhattisgarh,Jashpur,Chhattisgarh
Chhattisgarh,Kabirdham,Chhattisgarh
Chhattisgarh,Kanker,Chhattisgarh
Chhattisgarh,Khairagarh Chhuikhadan Gandai,Chhattisgarh
Chhattisgarh,Kondagaon,Chhattisgarh
Chhattisgarh,Korba,Chhattisgarh
Chhattisgarh,Korea,Chhattisgarh
Chhattisgarh,Mahasamund,Chhattisgarh
Chhattisgarh,Manendragarh Chirmiri Bharatpur,Chhattisgarh
Chhattisgarh,Mohla Manpur Ambagarh Chowki,Chhattisgarh
Chhattisgarh,Mungeli,Chhattisgarh
Chhattisgarh,Narayanpur,Chhattisgarh
Chhattisgarh,Raigarh,Chhattisgarh
Chhattisgarh,Raipur,Chhattisgarh
Chhattisgarh,Rajnandgaon,Chhattisgarh
Chhattisgarh,Sakti,Chhattisgarh
Chhattisgarh,Sarangarh Bilaigarh,Chhattisgarh
Chhattisgarh,Sukma,Chhattisgarh
Chhattisgarh,Surajpur,Chhattisgarh
Chhattisgarh,Surguja,Chhattisgarh
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Gujarat
Dadra and Nagar Haveli and Daman and Diu,Daman,Gujarat
Dadra and Nagar Haveli and Daman and Diu,Diu,Gujarat
Delhi,Central Delhi,Delhi
Delhi,East Delhi,Delhi
Delhi,New Delhi,Delhi
Delhi,North Delhi,Delhi
Delhi,North East Delhi,Delhi
Delhi,North West Delhi,Delhi
Delhi,Shahdara,Delhi
Delhi,South Delhi,Delhi
Delhi,South East Delhi,Delhi
Delhi,South West Delhi,Delhi
Delhi,West Delhi,Delhi
Goa,Kushavati,Maharashtra (Konkan)
Goa,North Goa,Maharashtra (Konkan)
Goa,South Goa,Maharashtra (Konkan)
Gujarat,Ahmedabad,Gujarat
Gujarat,Amreli,Gujarat
Gujarat,Anand,Gujarat
Gujarat,Aravalli,Gujarat
Gujarat,Banaskantha,Gujarat
Gujarat,Bharuch,Gujarat
Gujarat,Bhavnagar,Gujarat
Gujarat,Botad,Gujarat
Gujarat,Chhota Udaipur,Gujarat
Gujarat,Dahod,Gujarat
Gujarat,Dang,Gujarat
Gujarat,Devbhoomi Dwarka,Gujarat
Gujarat,Gandhinagar,Gujarat
Gujarat,Gir Somnath,Gujarat
Gujarat,Jamnagar,Gujarat
Gujarat,Junagadh,Gujarat
Gujarat,Kheda,Gujarat
Gujarat,Kutch,Gujarat
Gujarat,Mahisagar,Gujarat
Gujarat,Mehsana,Gujarat
Gujarat,Morbi,Gujarat
Gujarat,Narmada,Gujarat
Gujarat,Navsari,Gujarat
Gujarat,Panchmahal,Gujarat
Gujarat,Patan,Gujarat
Gujarat,Porbandar,Gujarat
Gujarat,Rajkot,Gujarat
Gujarat,Sabarkantha,Gujarat
Gujarat,Surat,Gujarat
Gujarat,Surendranagar,Gujarat
Gujarat,Tapi,Gujarat
Gujarat,Vadodara,Gujarat
Gujarat,Valsad,Gujarat
Haryana,Ambala,Haryana
Haryana,Bhiwani,Haryana
Haryana,Charkhi Dadri,Haryana
Haryana,Faridabad,Haryana
Haryana,Fatehabad,Haryana
Haryana,Gurugram,Haryana
Haryana,Hisar,Haryana
Haryana,Jhajjar,Haryana
Haryana,Jind,Haryana
Haryana,Kaithal,Haryana
